,,,temp,temp,temp,temp,temp,temp,temp,temp
,,,count,mean,std,min,25%,50%,75%,max
Year,Month,Day,,,,,,,,
2021,9,23,24.0,16.558333333333334,1.3943727487005908,15.0,15.4,16.1,17.45,19.8
2021,9,24,24.0,17.283333333333335,2.413668805252551,14.8,15.0,16.5,18.900000000000002,22.0
2021,9,25,24.0,16.641666666666666,0.5241279852550673,15.8,16.2,16.700000000000003,17.0,17.6
2021,9,26,24.0,15.525,0.5832815712024062,14.2,15.0,15.6,16.0,16.4
2021,9,27,24.0,16.525,1.9415928019787396,14.2,14.8,15.8,18.3,19.6
2021,9,28,24.0,17.15833333333333,1.043371069373594,16.0,16.4,16.8,17.85,19.4
2021,9,29,24.0,17.408333333333335,1.465521621535624,15.8,16.55,16.9,17.8,21.2
2021,9,30,24.0,16.258333333333333,1.4832152696867318,14.4,15.35,16.0,16.650000000000002,20.0
2021,10,1,24.0,15.050000000000002,1.200362264159196,12.6,14.7,15.1,16.0,17.0
2021,10,2,24.0,14.958333333333334,0.8924400682187678,13.6,14.35,14.9,15.299999999999999,17.0
2021,10,3,24.0,13.625,0.450362173096855,12.8,13.55,13.6,14.0,14.6
2021,10,4,24.0,14.225000000000001,0.6758247779082851,13.2,13.6,14.1,14.850000000000001,15.4
2021,10,5,24.0,13.783333333333331,0.6926111065580282,12.6,13.4,13.8,14.0,15.2
